iter	Passed	Remaining
263	728	2031
264	730	2027
265	732	2022
266	734	2016
267	736	2012
268	738	2007
269	740	2003
270	742	1998
271	745	1994
272	747	1989
273	749	1985
274	751	1980
275	753	1976
276	755	1971
277	757	1966
278	759	1962
279	761	1957
280	763	1953
281	765	1948
282	767	1944
283	769	1940
284	772	1937
285	774	1932
286	776	1927
287	777	1923
288	779	1918
289	781	1914
290	783	1909
291	785	1905
292	788	1901
293	789	1896
294	791	1892
295	793	1887
296	795	1882
297	797	1878
298	799	1873
299	801	1869
300	803	1865
301	805	1861
302	807	1857
303	809	1852
304	811	1848
305	813	1844
306	815	1839
307	817	1835
308	819	1832
309	821	1828
310	823	1824
311	825	1819
312	827	1815
313	829	1811
314	831	1807
315	833	1804
316	835	1800
317	837	1796
318	839	1792
319	841	1787
320	843	1783
321	844	1779
322	846	1774
323	848	1770
324	850	1766
325	852	1763
326	854	1759
327	856	1755
328	858	1751
329	860	1747
330	862	1743
331	864	1739
332	866	1736
333	868	1732
334	870	1728
335	872	1724
336	874	1720
337	876	1716
338	878	1712
339	880	1708
340	882	1705
341	885	1703
342	887	1699
343	889	1695
344	890	1691
345	892	1687
346	894	1683
347	896	1680
348	898	1676
349	900	1673
350	902	1669
351	904	1665
352	906	1661
353	908	1658
354	910	1654
355	913	1651
356	915	1648
357	917	1644
358	919	1641
359	921	1638
360	923	1634
361	925	1631
362	927	1627
363	929	1623
364	931	1620
365	933	1617
366	935	1613
367	937	1610
368	939	1606
369	941	1602
370	943	1599
371	945	1595
372	947	1593
373	949	1589
374	951	1585
375	953	1582
376	955	1578
377	957	1574
378	959	1571
379	961	1568
380	963	1565
381	965	1562
382	967	1558
383	969	1555
384	971	1551
385	973	1548
386	975	1545
387	977	1542
388	979	1539
389	981	1535
390	983	1532
391	985	1528
392	987	1525
393	989	1522
394	991	1519
395	994	1516
396	996	1513
397	998	1510
398	1000	1507
399	1003	1504
400	1005	1501
401	1007	1498
402	1008	1494
403	1011	1491
404	1013	1488
405	1015	1485
406	1016	1481
407	1018	1478
408	1020	1475
409	1022	1471
410	1024	1468
411	1027	1465
412	1029	1462
413	1031	1459
414	1033	1457
415	1035	1454
416	1037	1451
417	1040	1448
418	1042	1445
419	1044	1442
420	1046	1439
421	1048	1436
422	1050	1432
423	1052	1429
424	1054	1426
425	1056	1423
426	1058	1420
427	1060	1417
428	1062	1414
429	1064	1411
430	1066	1408
431	1068	1405
432	1070	1402
433	1072	1398
434	1074	1395
435	1076	1392
436	1078	1389
437	1080	1386
438	1082	1383
439	1084	1380
440	1086	1377
441	1088	1374
442	1090	1371
443	1093	1368
444	1095	1366
445	1097	1363
446	1099	1360
447	1101	1357
448	1103	1354
449	1105	1351
450	1107	1348
451	1110	1345
452	1112	1342
453	1114	1339
454	1116	1336
455	1118	1333
456	1120	1330
457	1122	1327
458	1124	1325
459	1126	1322
460	1128	1319
461	1130	1316
462	1132	1313
463	1134	1310
464	1136	1307
465	1137	1304
466	1140	1301
467	1142	1298
468	1143	1295
469	1145	1292
470	1147	1289
471	1149	1286
472	1151	1283
473	1153	1280
474	1155	1277
475	1157	1274
476	1159	1271
477	1161	1268
478	1163	1265
479	1165	1262
480	1167	1259
481	1169	1256
482	1171	1253
483	1173	1251
484	1175	1248
485	1177	1245
486	1179	1242
487	1181	1239
488	1183	1236
489	1185	1234
490	1187	1231
491	1190	1229
492	1192	1226
493	1194	1223
494	1196	1220
495	1198	1217
496	1201	1215
497	1203	1213
498	1205	1210
499	1207	1207
500	1209	1204
501	1210	1201
502	1212	1198
503	1214	1195
504	1217	1193
505	1219	1190
506	1221	1187
507	1223	1185
508	1225	1182
509	1227	1179
510	1229	1176
511	1231	1174
512	1233	1171
513	1236	1168
514	1238	1166
515	1240	1163
516	1242	1160
517	1244	1157
518	1246	1154
519	1248	1152
520	1250	1149
521	1252	1146
522	1254	1144
523	1256	1141
524	1258	1138
525	1260	1135
526	1261	1132
527	1263	1129
528	1265	1126
529	1267	1124
530	1270	1121
531	1272	1118
532	1273	1116
533	1275	1113
534	1277	1110
535	1279	1107
536	1281	1105
537	1284	1102
538	1286	1100
539	1288	1097
540	1290	1094
541	1292	1092
542	1294	1089
543	1296	1086
544	1298	1084
545	1300	1081
546	1302	1078
547	1304	1075
548	1306	1073
549	1308	1070
550	1310	1067
551	1312	1065
552	1314	1062
553	1316	1059
554	1318	1057
555	1320	1054
556	1322	1052
557	1324	1049
558	1326	1046
559	1328	1043
560	1330	1041
561	1332	1038
562	1334	1035
563	1336	1033
564	1338	1030
565	1340	1028
566	1343	1025
567	1345	1023
568	1347	1020
569	1349	1018
570	1351	1015
571	1353	1013
572	1356	1010
573	1358	1008
574	1360	1005
575	1362	1002
576	1364	1000
577	1366	997
578	1368	995
579	1370	992
580	1372	989
581	1374	987
582	1376	984
583	1378	982
584	1380	979
585	1382	976
586	1384	974
587	1386	971
588	1388	969
589	1390	966
590	1392	963
591	1394	961
592	1397	959
593	1399	956
594	1401	954
595	1403	951
596	1405	949
597	1408	946
598	1409	943
599	1411	941
600	1413	938
601	1415	936
602	1417	933
603	1419	930
604	1421	928
605	1423	925
606	1425	922
607	1427	920
608	1429	917
609	1431	915
610	1433	912
611	1435	910
612	1437	907
613	1439	904
614	1441	902
615	1443	899
616	1445	897
617	1447	894
618	1449	892
619	1451	889
620	1453	887
621	1455	884
622	1457	882
623	1459	879
624	1462	877
625	1464	874
626	1466	872
627	1468	869
628	1470	867
629	1472	864
630	1474	862
631	1476	859
632	1478	857
633	1480	854
634	1482	852
635	1484	849
636	1487	847
637	1489	844
638	1491	842
639	1493	840
640	1496	837
641	1498	835
642	1500	833
643	1502	830
644	1504	828
645	1506	825
646	1508	823
647	1511	820
648	1513	818
649	1515	816
650	1517	813
651	1519	811
652	1521	808
653	1523	806
654	1525	803
655	1528	801
656	1530	798
657	1532	796
658	1534	793
659	1536	791
660	1538	788
661	1540	786
662	1542	784
663	1544	781
664	1546	779
665	1548	776
666	1550	774
667	1552	771
668	1555	769
669	1557	767
670	1559	764
671	1561	762
672	1564	759
673	1566	757
674	1568	755
675	1570	752
676	1571	749
677	1573	747
678	1575	745
679	1577	742
680	1579	740
681	1581	737
682	1583	735
683	1585	732
684	1587	730
685	1589	727
686	1591	725
687	1593	722
688	1595	720
689	1598	718
690	1600	715
691	1602	713
692	1604	710
693	1606	708
694	1608	705
695	1610	703
696	1613	701
697	1615	698
698	1617	696
699	1619	694
700	1621	691
701	1623	689
702	1625	686
703	1627	684
704	1629	682
705	1631	679
706	1633	677
707	1635	674
708	1637	672
709	1639	669
710	1641	667
711	1643	664
712	1646	662
713	1647	660
714	1650	657
715	1652	655
716	1654	653
717	1657	650
718	1659	648
719	1661	646
720	1663	643
721	1665	641
722	1667	638
723	1669	636
724	1672	634
725	1674	631
726	1676	629
727	1678	627
728	1680	624
729	1682	622
730	1684	619
731	1687	617
732	1689	615
733	1691	612
734	1693	610
735	1695	608
736	1697	605
737	1699	603
738	1701	600
739	1703	598
740	1705	595
741	1707	593
742	1709	591
743	1711	588
744	1713	586
745	1714	583
746	1716	581
747	1718	579
748	1721	576
749	1723	574
750	1725	572
751	1727	569
752	1729	567
753	1731	564
754	1733	562
755	1735	560
756	1737	557
757	1739	555
758	1741	552
759	1743	550
760	1745	548
761	1747	545
762	1749	543
763	1751	540
764	1753	538
765	1755	536
766	1757	533
767	1759	531
768	1761	529
769	1763	526
770	1765	524
771	1767	521
772	1769	519
773	1771	517
774	1773	514
775	1775	512
776	1777	510
777	1779	507
778	1781	505
779	1783	502
780	1785	500
781	1787	498
782	1789	495
783	1791	493
784	1793	491
785	1795	488
786	1797	486
787	1799	484
788	1801	481
789	1804	479
790	1806	477
791	1808	474
792	1810	472
793	1813	470
794	1815	468
795	1817	465
796	1819	463
797	1822	461
798	1824	458
799	1826	456
800	1828	454
801	1830	451
802	1833	449
803	1835	447
804	1837	445
805	1839	442
806	1841	440
807	1843	438
808	1845	435
809	1848	433
810	1849	431
811	1852	428
812	1854	426
813	1856	424
814	1858	421
815	1860	419
816	1862	417
817	1864	414
818	1866	412
819	1868	410
820	1870	407
821	1872	405
822	1874	403
823	1876	400
824	1878	398
825	1881	396
826	1883	393
827	1885	391
828	1887	389
829	1889	387
830	1891	384
831	1893	382
832	1895	380
833	1898	377
834	1900	375
835	1902	373
836	1904	370
837	1906	368
838	1908	366
839	1910	363
840	1912	361
841	1914	359
842	1917	357
843	1919	354
844	1920	352
845	1923	350
846	1924	347
847	1926	345
848	1928	343
849	1930	340
850	1933	338
851	1934	336
852	1936	333
853	1938	331
854	1940	329
855	1942	326
856	1944	324
857	1947	322
858	1949	319
859	1951	317
860	1952	315
861	1954	312
862	1956	310
863	1958	308
864	1960	306
865	1962	303
866	1965	301
867	1966	299
868	1969	296
869	1970	294
870	1972	292
871	1974	289
872	1977	287
873	1979	285
874	1981	283
875	1983	280
876	1986	278
877	1988	276
878	1990	273
879	1992	271
880	1995	269
881	1997	267
882	1999	264
883	2001	262
884	2003	260
885	2005	258
886	2008	255
887	2010	253
888	2012	251
889	2014	248
890	2016	246
891	2018	244
892	2020	242
893	2022	239
894	2024	237
895	2026	235
896	2028	232
897	2030	230
898	2032	228
899	2034	226
900	2036	223
901	2038	221
902	2040	219
903	2043	216
904	2045	214
905	2047	212
906	2048	210
907	2050	207
908	2052	205
909	2055	203
910	2057	200
911	2059	198
912	2061	196
913	2063	194
914	2065	191
915	2067	189
916	2069	187
917	2071	185
918	2073	182
919	2075	180
920	2077	178
921	2079	175
922	2081	173
923	2083	171
924	2085	169
925	2086	166
926	2088	164
927	2090	162
928	2092	159
929	2094	157
930	2096	155
931	2099	153
932	2101	150
933	2103	148
934	2105	146
935	2107	144
936	2109	141
937	2111	139
938	2113	137
939	2115	135
940	2117	132
941	2119	130
942	2121	128
943	2123	125
944	2125	123
945	2127	121
946	2129	119
947	2131	116
948	2133	114
949	2135	112
950	2137	110
951	2139	107
952	2142	105
953	2143	103
954	2145	101
955	2147	98
956	2149	96
957	2151	94
958	2153	92
959	2155	89
960	2157	87
961	2159	85
962	2161	83
963	2163	80
964	2165	78
965	2167	76
966	2169	74
967	2171	71
968	2173	69
969	2175	67
970	2177	65
971	2179	62
972	2181	60
973	2183	58
974	2185	56
975	2188	53
976	2190	51
977	2192	49
978	2194	47
979	2196	44
980	2198	42
981	2200	40
982	2202	38
983	2204	35
984	2207	33
985	2209	31
986	2211	29
987	2213	26
988	2215	24
989	2217	22
990	2219	20
991	2221	17
992	2223	15
993	2225	13
994	2227	11
995	2229	8
996	2231	6
997	2232	4
998	2234	2
999	2237	0
